"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00027502","BARROW AIRPORT, AK US","1902-03-16",,"-19","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-03-17",,"-24","-33",
"USW00027502","BARROW AIRPORT, AK US","1902-03-18",,"-23","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-03-19",,"-20","-34",
"USW00027502","BARROW AIRPORT, AK US","1902-03-20",,"-12","-20",
"USW00027502","BARROW AIRPORT, AK US","1902-03-21",,"-14","-32",
"USW00027502","BARROW AIRPORT, AK US","1902-03-22",,"-20","-37",
"USW00027502","BARROW AIRPORT, AK US","1902-03-23",,"-22","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-03-24",,"-24","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-03-25",,"-20","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-03-26",,"-15","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-03-27",,"-2","-22",
"USW00027502","BARROW AIRPORT, AK US","1902-03-28",,"-15","-38",
"USW00027502","BARROW AIRPORT, AK US","1902-03-29",,,"-17",
"USW00027502","BARROW AIRPORT, AK US","1902-03-30",,"-10","-18",
"USW00027502","BARROW AIRPORT, AK US","1902-03-31",,"-2","-16",
"USW00027502","BARROW AIRPORT, AK US","1902-04-01",,,"-11",
"USW00027502","BARROW AIRPORT, AK US","1902-04-02",,"1","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-04-03",,"6","-12",
"USW00027502","BARROW AIRPORT, AK US","1902-04-04",,"-7","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-04-05",,"-12","-19",
"USW00027502","BARROW AIRPORT, AK US","1902-04-06",,"-8","-19",
"USW00027502","BARROW AIRPORT, AK US","1902-04-07",,"-8","-19",
"USW00027502","BARROW AIRPORT, AK US","1902-04-08",,"-4","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-04-09",,"-1","-7",
"USW00027502","BARROW AIRPORT, AK US","1902-04-10",,"2","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-04-11",,"5","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-04-12",,"2","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-04-13",,"4","-14",
"USW00027502","BARROW AIRPORT, AK US","1902-04-14",,"9","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-04-15",,"8","-7",
"USW00027502","BARROW AIRPORT, AK US","1902-04-16",,"2","-14",
"USW00027502","BARROW AIRPORT, AK US","1902-04-17",,"2","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-04-18",,"4","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-04-19",,"6","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-04-20",,,"-3",
"USW00027502","BARROW AIRPORT, AK US","1902-04-21",,"8","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-04-22",,"18","4",
"USW00027502","BARROW AIRPORT, AK US","1902-04-23",,"13","5",
"USW00027502","BARROW AIRPORT, AK US","1902-04-24",,"17","9",
"USW00027502","BARROW AIRPORT, AK US","1902-04-25",,"16","9",
"USW00027502","BARROW AIRPORT, AK US","1902-04-26",,"17","7",
"USW00027502","BARROW AIRPORT, AK US","1902-04-27",,"13",,
"USW00027502","BARROW AIRPORT, AK US","1902-04-28",,"13","-3",
"USW00027502","BARROW AIRPORT, AK US","1902-04-29",,"12","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-04-30",,"11","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-05-01",,"16","-2",
"USW00027502","BARROW AIRPORT, AK US","1902-05-02",,"24","13",
"USW00027502","BARROW AIRPORT, AK US","1902-05-03",,"38","18",
"USW00027502","BARROW AIRPORT, AK US","1902-05-04",,"40","26",
"USW00027502","BARROW AIRPORT, AK US","1902-05-05",,"33","26",
"USW00027502","BARROW AIRPORT, AK US","1902-05-06",,"29","23",
"USW00027502","BARROW AIRPORT, AK US","1902-05-07",,"44","5",
"USW00027502","BARROW AIRPORT, AK US","1902-05-08",,"24","3",
"USW00027502","BARROW AIRPORT, AK US","1902-05-09",,"22","10",
"USW00027502","BARROW AIRPORT, AK US","1902-05-10",,"18","5",
"USW00027502","BARROW AIRPORT, AK US","1902-05-11",,"18","3",
"USW00027502","BARROW AIRPORT, AK US","1902-05-12",,"19","-1",
"USW00027502","BARROW AIRPORT, AK US","1902-05-13",,"20","5",
"USW00027502","BARROW AIRPORT, AK US","1902-05-14",,"16","3",
"USW00027502","BARROW AIRPORT, AK US","1902-05-15",,"15",,
"USW00027502","BARROW AIRPORT, AK US","1902-05-16",,"20","8",
"USW00027502","BARROW AIRPORT, AK US","1902-05-17",,"15","5",
"USW00027502","BARROW AIRPORT, AK US","1902-05-18",,"17","7",
"USW00027502","BARROW AIRPORT, AK US","1902-05-19",,"22","13",
"USW00027502","BARROW AIRPORT, AK US","1902-05-20",,"29","14",
"USW00027502","BARROW AIRPORT, AK US","1902-05-21",,"32","28",
"USW00027502","BARROW AIRPORT, AK US","1902-05-22",,"28","20",
"USW00027502","BARROW AIRPORT, AK US","1902-05-23",,"28","21",
"USW00027502","BARROW AIRPORT, AK US","1902-05-24",,"36","22",
"USW00027502","BARROW AIRPORT, AK US","1902-05-25",,"41","30",
"USW00027502","BARROW AIRPORT, AK US","1902-05-26",,"42","33",
"USW00027502","BARROW AIRPORT, AK US","1902-05-27",,"37","26",
"USW00027502","BARROW AIRPORT, AK US","1902-05-28",,"32","25",
"USW00027502","BARROW AIRPORT, AK US","1902-05-29",,"41",,
"USW00027502","BARROW AIRPORT, AK US","1902-05-30",,"36","28",
"USW00027502","BARROW AIRPORT, AK US","1902-05-31",,"36","31",
"USW00027502","BARROW AIRPORT, AK US","1902-06-01",,"43","31",
"USW00027502","BARROW AIRPORT, AK US","1902-06-02",,"44","36",
"USW00027502","BARROW AIRPORT, AK US","1902-06-03",,"48","37",
"USW00027502","BARROW AIRPORT, AK US","1902-06-04",,"48","37",
"USW00027502","BARROW AIRPORT, AK US","1902-06-05",,"47","32",
"USW00027502","BARROW AIRPORT, AK US","1902-06-06",,"40","31",
"USW00027502","BARROW AIRPORT, AK US","1902-06-07",,"45","34",
"USW00027502","BARROW AIRPORT, AK US","1902-06-08",,"48","38",
"USW00027502","BARROW AIRPORT, AK US","1902-06-09",,"43","29",
"USW00027502","BARROW AIRPORT, AK US","1902-06-10",,"41","31",
"USW00027502","BARROW AIRPORT, AK US","1902-06-11",,"38","30",
"USW00027502","BARROW AIRPORT, AK US","1902-06-12",,"40","33",
"USW00027502","BARROW AIRPORT, AK US","1902-06-13",,"54","32",
"USW00027502","BARROW AIRPORT, AK US","1902-06-14",,"51","41",
"USW00027502","BARROW AIRPORT, AK US","1902-06-15",,"47","38",
"USW00027502","BARROW AIRPORT, AK US","1902-06-16",,"48","38",
"USW00027502","BARROW AIRPORT, AK US","1902-06-17",,"55","35",
"USW00027502","BARROW AIRPORT, AK US","1902-06-18",,"41","31",
"USW00027502","BARROW AIRPORT, AK US","1902-06-19",,"55","30",
"USW00027502","BARROW AIRPORT, AK US","1902-06-20",,"43","30",
"USW00027502","BARROW AIRPORT, AK US","1902-06-21",,"42","30",
"USW00027502","BARROW AIRPORT, AK US","1902-06-22",,"43","30",
"USW00027502","BARROW AIRPORT, AK US","1902-06-23",,"42","33",
"USW00027502","BARROW AIRPORT, AK US","1902-06-24",,"42","29",
"USW00027502","BARROW AIRPORT, AK US","1902-06-25",,"45","33",
"USW00027502","BARROW AIRPORT, AK US","1902-06-26",,"49","34",
"USW00027502","BARROW AIRPORT, AK US","1902-06-27",,"60","42",
"USW00027502","BARROW AIRPORT, AK US","1902-06-28",,"61","36",
"USW00027502","BARROW AIRPORT, AK US","1902-06-29",,"47","37",
"USW00027502","BARROW AIRPORT, AK US","1902-06-30",,"48","37",
"USW00027502","BARROW AIRPORT, AK US","1902-07-01",,"47","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-02",,"41","33",
"USW00027502","BARROW AIRPORT, AK US","1902-07-03",,"39","30",
"USW00027502","BARROW AIRPORT, AK US","1902-07-04",,"41","30",
"USW00027502","BARROW AIRPORT, AK US","1902-07-05",,"40","30",
"USW00027502","BARROW AIRPORT, AK US","1902-07-06",,"39","30",
"USW00027502","BARROW AIRPORT, AK US","1902-07-07",,"52","32",
"USW00027502","BARROW AIRPORT, AK US","1902-07-08",,"43","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-09",,"51","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-10",,"50","37",
"USW00027502","BARROW AIRPORT, AK US","1902-07-11",,"43","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-12",,"47","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-13",,"47","36",
"USW00027502","BARROW AIRPORT, AK US","1902-07-14",,"38","32",
"USW00027502","BARROW AIRPORT, AK US","1902-07-15",,"44","36",
"USW00027502","BARROW AIRPORT, AK US","1902-07-16",,"46","36",
"USW00027502","BARROW AIRPORT, AK US","1902-07-17",,"45","34",
"USW00027502","BARROW AIRPORT, AK US","1902-07-18",,"60","36",
"USW00027502","BARROW AIRPORT, AK US","1902-07-19",,"60","34",
"USW00027502","BARROW AIRPORT, AK US","1902-07-20",,"62","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-21",,"59","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-22",,"44","36",
"USW00027502","BARROW AIRPORT, AK US","1902-07-23",,"43","33",
"USW00027502","BARROW AIRPORT, AK US","1902-07-24",,"46","34",
"USW00027502","BARROW AIRPORT, AK US","1902-07-25",,"42","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-26",,"42","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-27",,"39","33",
"USW00027502","BARROW AIRPORT, AK US","1902-07-28",,"39","32",
"USW00027502","BARROW AIRPORT, AK US","1902-07-29",,"42","33",
"USW00027502","BARROW AIRPORT, AK US","1902-07-30",,"40","35",
"USW00027502","BARROW AIRPORT, AK US","1902-07-31",,"41","35",
"USW00027502","BARROW AIRPORT, AK US","1902-08-01",,"39","33",
"USW00027502","BARROW AIRPORT, AK US","1902-08-02",,"38","32",
"USW00027502","BARROW AIRPORT, AK US","1902-08-03",,"39","31",
"USW00027502","BARROW AIRPORT, AK US","1902-08-04",,"38","32",
"USW00027502","BARROW AIRPORT, AK US","1902-08-05",,"38","31",
"USW00027502","BARROW AIRPORT, AK US","1902-08-06",,"38","33",
"USW00027502","BARROW AIRPORT, AK US","1902-08-07",,"46","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-08",,"57","37",
"USW00027502","BARROW AIRPORT, AK US","1902-08-09",,"46","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-10",,"54","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-11",,"50","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-12",,"50","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-13",,"38","33",
"USW00027502","BARROW AIRPORT, AK US","1902-08-14",,"43",,
"USW00027502","BARROW AIRPORT, AK US","1902-08-15",,"46","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-16",,"58","32",
"USW00027502","BARROW AIRPORT, AK US","1902-08-17",,"56","38",
"USW00027502","BARROW AIRPORT, AK US","1902-08-18",,"42","36",
"USW00027502","BARROW AIRPORT, AK US","1902-08-19",,"40","35",
"USW00027502","BARROW AIRPORT, AK US","1902-08-20",,"39","34",
"USW00027502","BARROW AIRPORT, AK US","1902-08-21",,"45","38",
"USW00027502","BARROW AIRPORT, AK US","1902-08-22",,"39","33",
"USW00027502","BARROW AIRPORT, AK US","1902-08-23",,"45","30",
"USW00027502","BARROW AIRPORT, AK US","1902-08-24",,"36","34",
"USW00027502","BARROW AIRPORT, AK US","1902-08-25",,,"34",
"USW00027502","BARROW AIRPORT, AK US","1902-08-26",,"41","31",
"USW00027502","BARROW AIRPORT, AK US","1902-08-27",,"42","30",
"USW00027502","BARROW AIRPORT, AK US","1902-08-28",,"36","29",
"USW00027502","BARROW AIRPORT, AK US","1902-08-29",,"36","32",
"USW00027502","BARROW AIRPORT, AK US","1902-08-30",,"33","28",
"USW00027502","BARROW AIRPORT, AK US","1902-08-31",,"36","30",
"USW00027502","BARROW AIRPORT, AK US","1902-09-01",,"39","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-02",,"39","35",
"USW00027502","BARROW AIRPORT, AK US","1902-09-03",,"36","30",
"USW00027502","BARROW AIRPORT, AK US","1902-09-04",,"34","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-05",,"34","30",
"USW00027502","BARROW AIRPORT, AK US","1902-09-06",,"32","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-07",,"34","28",
"USW00027502","BARROW AIRPORT, AK US","1902-09-08",,"36","31",
"USW00027502","BARROW AIRPORT, AK US","1902-09-09",,"36","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-10",,"37","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-11",,"36","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-12",,"37","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-13",,"34","30",
"USW00027502","BARROW AIRPORT, AK US","1902-09-14",,"35","32",
"USW00027502","BARROW AIRPORT, AK US","1902-09-15",,"34","30",
"USW00027502","BARROW AIRPORT, AK US","1902-09-16",,"32","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-17",,"33","27",
"USW00027502","BARROW AIRPORT, AK US","1902-09-18",,"31","27",
"USW00027502","BARROW AIRPORT, AK US","1902-09-19",,"33","27",
"USW00027502","BARROW AIRPORT, AK US","1902-09-20",,"30","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-21",,"33","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-22",,"36","29",
"USW00027502","BARROW AIRPORT, AK US","1902-09-23",,"38","31",
"USW00027502","BARROW AIRPORT, AK US","1902-09-24",,"31","26",
"USW00027502","BARROW AIRPORT, AK US","1902-09-25",,"33","25",
"USW00027502","BARROW AIRPORT, AK US","1902-09-26",,"36","24",
"USW00027502","BARROW AIRPORT, AK US","1902-09-27",,"36","27",
"USW00027502","BARROW AIRPORT, AK US","1902-09-28",,"36","26",
"USW00027502","BARROW AIRPORT, AK US","1902-09-29",,"37","27",
"USW00027502","BARROW AIRPORT, AK US","1902-09-30",,"32","25",
"USW00027502","BARROW AIRPORT, AK US","1902-10-01",,"34","29",
"USW00027502","BARROW AIRPORT, AK US","1902-10-02",,"36","29",
"USW00027502","BARROW AIRPORT, AK US","1902-10-03",,"32","25",
"USW00027502","BARROW AIRPORT, AK US","1902-10-04",,"29","25",
"USW00027502","BARROW AIRPORT, AK US","1902-10-05",,"30","27",
"USW00027502","BARROW AIRPORT, AK US","1902-10-06",,"34","28",
"USW00027502","BARROW AIRPORT, AK US","1902-10-07",,"36","26",
"USW00027502","BARROW AIRPORT, AK US","1902-10-08",,"32",,
"USW00027502","BARROW AIRPORT, AK US","1902-10-09",,"33","19",
"USW00027502","BARROW AIRPORT, AK US","1902-10-10",,"34","24",
"USW00027502","BARROW AIRPORT, AK US","1902-10-11",,"40","31",
"USW00027502","BARROW AIRPORT, AK US","1902-10-12",,"36","27",
"USW00027502","BARROW AIRPORT, AK US","1902-10-13",,"35","31",
"USW00027502","BARROW AIRPORT, AK US","1902-10-14",,"33","28",
"USW00027502","BARROW AIRPORT, AK US","1902-10-15",,"30","24",
"USW00027502","BARROW AIRPORT, AK US","1902-10-16",,"27","21",
"USW00027502","BARROW AIRPORT, AK US","1902-10-17",,"24","20",
"USW00027502","BARROW AIRPORT, AK US","1902-10-18",,"22","17",
"USW00027502","BARROW AIRPORT, AK US","1902-10-19",,"25","17",
"USW00027502","BARROW AIRPORT, AK US","1902-10-20",,"31","23",
"USW00027502","BARROW AIRPORT, AK US","1902-10-21",,"27","17",
"USW00027502","BARROW AIRPORT, AK US","1902-10-22",,"30","18",
"USW00027502","BARROW AIRPORT, AK US","1902-10-23",,"30","18",
"USW00027502","BARROW AIRPORT, AK US","1902-10-24",,"25","10",
"USW00027502","BARROW AIRPORT, AK US","1902-10-25",,"20","9",
"USW00027502","BARROW AIRPORT, AK US","1902-10-26",,"20",,
"USW00027502","BARROW AIRPORT, AK US","1902-10-27",,,"5",
"USW00027502","BARROW AIRPORT, AK US","1902-10-28",,"26","14",
"USW00027502","BARROW AIRPORT, AK US","1902-10-29",,"27","16",
"USW00027502","BARROW AIRPORT, AK US","1902-10-30",,"26","20",
"USW00027502","BARROW AIRPORT, AK US","1902-10-31",,"27","20",
"USW00027502","BARROW AIRPORT, AK US","1902-11-01",,"22","12",
"USW00027502","BARROW AIRPORT, AK US","1902-11-02",,"18","10",
"USW00027502","BARROW AIRPORT, AK US","1902-11-03",,"18","10",
"USW00027502","BARROW AIRPORT, AK US","1902-11-04",,"18","6",
"USW00027502","BARROW AIRPORT, AK US","1902-11-05",,"14","8",
"USW00027502","BARROW AIRPORT, AK US","1902-11-06",,"16","9",
"USW00027502","BARROW AIRPORT, AK US","1902-11-07",,"22","16",
"USW00027502","BARROW AIRPORT, AK US","1902-11-08",,"20","14",
"USW00027502","BARROW AIRPORT, AK US","1902-11-09",,"19","9",
"USW00027502","BARROW AIRPORT, AK US","1902-11-10",,"20","7",
"USW00027502","BARROW AIRPORT, AK US","1902-11-11",,"18","10",
"USW00027502","BARROW AIRPORT, AK US","1902-11-12",,"8","1",
"USW00027502","BARROW AIRPORT, AK US","1902-11-13",,,,
"USW00027502","BARROW AIRPORT, AK US","1902-11-14",,"10","5",
"USW00027502","BARROW AIRPORT, AK US","1902-11-15",,"11","3",
"USW00027502","BARROW AIRPORT, AK US","1902-11-16",,"10","1",
"USW00027502","BARROW AIRPORT, AK US","1902-11-17",,"8","0",
"USW00027502","BARROW AIRPORT, AK US","1902-11-18",,"4","-12",
"USW00027502","BARROW AIRPORT, AK US","1902-11-19",,"3","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-11-20",,"6","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-11-21",,"4","-3",
"USW00027502","BARROW AIRPORT, AK US","1902-11-22",,"4","-16",
"USW00027502","BARROW AIRPORT, AK US","1902-11-23",,"-8","-16",
"USW00027502","BARROW AIRPORT, AK US","1902-11-24",,"-11","-16",
"USW00027502","BARROW AIRPORT, AK US","1902-11-25",,"-6","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-11-26",,"-5","-12",
"USW00027502","BARROW AIRPORT, AK US","1902-11-27",,"-6","-18",
"USW00027502","BARROW AIRPORT, AK US","1902-11-28",,"-8","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-11-29",,"-10","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-11-30",,"-7","-25",
"USW00027502","BARROW AIRPORT, AK US","1902-12-01",,"-9","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-12-02",,"14","-27",
"USW00027502","BARROW AIRPORT, AK US","1902-12-03",,"14","-3",
"USW00027502","BARROW AIRPORT, AK US","1902-12-04",,"15","3",
"USW00027502","BARROW AIRPORT, AK US","1902-12-05",,"15","-1",
"USW00027502","BARROW AIRPORT, AK US","1902-12-06",,"20","-14",
"USW00027502","BARROW AIRPORT, AK US","1902-12-07",,"10",,
"USW00027502","BARROW AIRPORT, AK US","1902-12-08",,"20","0",
"USW00027502","BARROW AIRPORT, AK US","1902-12-09",,"25","-1",
"USW00027502","BARROW AIRPORT, AK US","1902-12-10",,"3","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-12-11",,"-20","-22",
"USW00027502","BARROW AIRPORT, AK US","1902-12-12",,"-20","-25",
"USW00027502","BARROW AIRPORT, AK US","1902-12-13",,"-24","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-12-14",,"-22","-24",
"USW00027502","BARROW AIRPORT, AK US","1902-12-15",,"-24","-27",
"USW00027502","BARROW AIRPORT, AK US","1902-12-16",,"-22","-27",
"USW00027502","BARROW AIRPORT, AK US","1902-12-17",,"-20","-25",
"USW00027502","BARROW AIRPORT, AK US","1902-12-18",,"-22","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-12-19",,"-26","-35",
"USW00027502","BARROW AIRPORT, AK US","1902-12-20",,"-22","-33",
"USW00027502","BARROW AIRPORT, AK US","1902-12-21",,"-22","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-12-22",,"20","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-12-23",,,"-2",
"USW00027502","BARROW AIRPORT, AK US","1902-12-24",,"-2","-20",
"USW00027502","BARROW AIRPORT, AK US","1902-12-25",,"-20","-32",
"USW00027502","BARROW AIRPORT, AK US","1902-12-26",,"-15","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-12-27",,"-15","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-12-28",,"-20","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-12-29",,"-22","-25",
"USW00027502","BARROW AIRPORT, AK US","1902-12-30",,"-20","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-12-31",,"-16","-21",
"USW00027502","BARROW AIRPORT, AK US","1903-01-01",,"-19","-21",
"USW00027502","BARROW AIRPORT, AK US","1903-01-02",,"-20","-25",
"USW00027502","BARROW AIRPORT, AK US","1903-01-03",,"-25","-29",
"USW00027502","BARROW AIRPORT, AK US","1903-01-04",,"-26","-32",
"USW00027502","BARROW AIRPORT, AK US","1903-01-05",,"-32","-42",
"USW00027502","BARROW AIRPORT, AK US","1903-01-06",,"-42","-45",
"USW00027502","BARROW AIRPORT, AK US","1903-01-07",,"-34","-38",
"USW00027502","BARROW AIRPORT, AK US","1903-01-08",,"-31","-34",
"USW00027502","BARROW AIRPORT, AK US","1903-01-09",,"-29","-31",
"USW00027502","BARROW AIRPORT, AK US","1903-01-10",,"-23","-29",
"USW00027502","BARROW AIRPORT, AK US","1903-01-11",,"-23","-24",
"USW00027502","BARROW AIRPORT, AK US","1903-01-12",,"-13","-21",
"USW00027502","BARROW AIRPORT, AK US","1903-01-13",,"-7","-16",
"USW00027502","BARROW AIRPORT, AK US","1903-01-14",,"-5","-9",
